[CORRUPT-DATA] 0x89234 garbage binary data start
2026-02-18 09:01:01, ip=10.0.0.5, user=admin, status=Failed password, port=8080
2026-02-18 09:01:02| ip=10.0.0.5| user=admin| status=Failed password| port=8080
2026-02-18 09:01:03, ip=10.0.0.5, user=dev, status=Failed password, port=8080
2026-02-18 09:01:04| ip=10.0.0.5| user=dev| status=Failed password| port=8080
2026-02-18 09:01:05, ip=10.0.0.5, user=admin, status=Failed password, port=8080
2026-02-18 09:01:06| ip=10.0.0.5| user=admin| status=Failed password| port=8080
2026-02-18 09:01:07, ip=10.0.0.5, user=admin, status=Failed password, port=8080
2026-02-18 09:01:08| ip=10.0.0.5| user=admin| status=Failed password| port=8080
2026-02-18 09:01:09, ip=10.0.0.5, user=dev, status=Failed password, port=8080
2026-02-18 09:01:10| ip=10.0.0.5| user=dev| status=Failed password| port=8080
2026-02-18 09:01:11, ip=10.0.0.5, user=admin, status=Failed password, port=8080
2026-02-18 09:01:12| ip=10.0.0.5| user=admin| status=Failed password| port=8080
2026-02-18 09:01:13, ip=10.0.0.5, user=admin, status=Failed password, port=8080
2026-02-18 09:01:14| ip=10.0.0.5| user=admin| status=Failed password| port=8080
2026-02-18 09:01:15, ip=10.0.0.5, user=dev, status=Failed password, port=8080
2026-02-18 09:05:01, ip=192.168.1.100, user=root, status=Failed password, port=22
2026-02-18 09:05:02| ip=192.168.1.100| user=root| status=Failed password| port=22
2026-02-18 09:05:03, ip=192.168.1.100, user=root, status=Failed password, port=22
2026-02-18 09:05:04| ip=192.168.1.100| user=root| status=Failed password| port=22
2026-02-18 09:05:05, ip=192.168.1.100, user=root, status=Failed password, port=22
2026-02-18 09:05:06| ip=192.168.1.100| user=root| status=Failed password| port=22
[CORRUPT-DATA] random bytes 0x9999
2026-02-18 10:05:01, ip=192.168.1.100, user=root, status=Failed password, port=22
2026-02-18 10:05:02| ip=192.168.1.100| user=root| status=Failed password| port=22
2026-02-18 10:05:03, ip=192.168.1.100, user=root, status=Failed password, port=22
2026-02-18 10:05:04| ip=192.168.1.100| user=root| status=Failed password| port=22
2026-02-18 10:05:05, ip=192.168.1.100, user=root, status=Failed password, port=22
2026-02-18 10:05:06| ip=192.168.1.100| user=root| status=Failed password| port=22
2026-02-18 10:10:01, ip=172.16.0.20, user=student, status=Failed password, port=443
2026-02-18 10:10:02| ip=172.16.0.20| user=student| status=Failed password| port=443
2026-02-18 10:10:03, ip=172.16.0.20, user=student, status=Failed password, port=443
2026-02-18 10:10:04, ip=172.16.0.20, user=student, status=Success, port=443
2026-02-18 11:20:01, ip=45.33.22.11, user=hacker, status=Failed password, port=22
2026-02-18 11:20:02| ip=45.33.22.11| user=hacker| status=Failed password| port=22
2026-02-18 11:20:03, ip=45.33.22.11, user=hacker, status=Failed password, port=22
2026-02-18 11:20:04| ip=45.33.22.11| user=hacker| status=Failed password| port=22
2026-02-18 11:20:05, ip=45.33.22.11, user=hacker, status=Failed password, port=22
2026-02-18 11:20:06| ip=45.33.22.11| user=hacker| status=Failed password| port=22
2026-02-18 11:20:07, ip=45.33.22.11, user=hacker, status=Failed password, port=22
2026-02-18 11:20:08| ip=45.33.22.11| user=hacker| status=Failed password| port=22
2026-02-18 11:20:09, ip=45.33.22.11, user=hacker, status=Failed password, port=22
2026-02-18 11:20:10| ip=45.33.22.11| user=hacker| status=Failed password| port=22
2026-02-18 11:20:11, ip=45.33.22.11, user=hacker, status=Failed password, port=22
